template,count,first_seen,last_seen,sample
Cart service call succeeded,2421,2026-06-01T00:00:50.424Z,2026-06-01T23:59:34.813Z,Cart service call succeeded
Order created orderId=ORD-<num> userId=<id>,2182,2026-06-01T00:00:05.762Z,2026-06-01T23:59:52.503Z,Order created orderId=ORD-73632836 userId=55089
Health check passed,1798,2026-06-01T00:00:28.691Z,2026-06-01T23:57:35.938Z,Health check passed
Cart service returned 5xx status=<num>,438,2026-06-01T20:30:52.086Z,2026-06-01T23:44:37.554Z,Cart service returned 5xx status=502
Cart service timeout after 1002ms,4,2026-06-01T14:04:48.831Z,2026-06-01T22:32:45.225Z,Cart service timeout after 1002ms
Cart service timeout after 596ms,4,2026-06-01T21:21:04.268Z,2026-06-01T22:10:33.930Z,Cart service timeout after 596ms
Cart service timeout after 2450ms,3,2026-06-01T02:45:27.018Z,2026-06-01T11:15:48.413Z,Cart service timeout after 2450ms
Cart service timeout after 1016ms,3,2026-06-01T04:45:40.303Z,2026-06-01T23:11:33.959Z,Cart service timeout after 1016ms
Cart service timeout after 2940ms,3,2026-06-01T05:45:06.094Z,2026-06-01T22:23:49.510Z,Cart service timeout after 2940ms
Cart service timeout after 1326ms,3,2026-06-01T08:04:42.027Z,2026-06-01T23:20:32.510Z,Cart service timeout after 1326ms
Cart service timeout after 2367ms,3,2026-06-01T09:03:51.464Z,2026-06-01T23:41:06.003Z,Cart service timeout after 2367ms
Cart service timeout after 832ms,3,2026-06-01T09:04:20.225Z,2026-06-01T22:25:13.614Z,Cart service timeout after 832ms
Cart service timeout after 2674ms,3,2026-06-01T10:16:57.526Z,2026-06-01T23:17:35.215Z,Cart service timeout after 2674ms
Cart service timeout after 2912ms,3,2026-06-01T10:40:00.502Z,2026-06-01T20:57:35.468Z,Cart service timeout after 2912ms
Cart service timeout after 2202ms,3,2026-06-01T10:41:43.826Z,2026-06-01T22:25:11.091Z,Cart service timeout after 2202ms
Cart service timeout after 1864ms,3,2026-06-01T11:13:37.831Z,2026-06-01T21:28:35.591Z,Cart service timeout after 1864ms
Cart service timeout after 1042ms,3,2026-06-01T12:50:03.903Z,2026-06-01T16:24:12.766Z,Cart service timeout after 1042ms
Cart service timeout after 2624ms,3,2026-06-01T13:55:37.839Z,2026-06-01T23:57:52.660Z,Cart service timeout after 2624ms
Cart service timeout after 518ms,3,2026-06-01T17:48:55.541Z,2026-06-01T22:12:22.218Z,Cart service timeout after 518ms
Cart service timeout after 1481ms,3,2026-06-01T18:05:50.994Z,2026-06-01T23:35:23.394Z,Cart service timeout after 1481ms
Cart service timeout after 630ms,3,2026-06-01T19:42:17.674Z,2026-06-01T22:55:04.125Z,Cart service timeout after 630ms
Cart service timeout after 2677ms,3,2026-06-01T20:39:07.263Z,2026-06-01T23:02:30.203Z,Cart service timeout after 2677ms
Cart service timeout after 698ms,3,2026-06-01T20:41:40.197Z,2026-06-01T22:48:03.196Z,Cart service timeout after 698ms
Cart service timeout after 1432ms,3,2026-06-01T20:45:40.166Z,2026-06-01T23:11:34.856Z,Cart service timeout after 1432ms
Cart service timeout after 2951ms,3,2026-06-01T21:19:39.425Z,2026-06-01T23:36:07.293Z,Cart service timeout after 2951ms
Cart service timeout after 1494ms,3,2026-06-01T21:26:18.277Z,2026-06-01T23:41:46.967Z,Cart service timeout after 1494ms
Cart service timeout after 2037ms,3,2026-06-01T21:54:45.731Z,2026-06-01T23:07:07.743Z,Cart service timeout after 2037ms
Cart service timeout after 2871ms,2,2026-06-01T00:04:18.588Z,2026-06-01T22:57:55.598Z,Cart service timeout after 2871ms
Cart service timeout after 2980ms,2,2026-06-01T00:04:28.244Z,2026-06-01T21:30:00.712Z,Cart service timeout after 2980ms
Cart service timeout after 2168ms,2,2026-06-01T00:04:55.648Z,2026-06-01T11:03:13.090Z,Cart service timeout after 2168ms
Cart service timeout after 1497ms,2,2026-06-01T00:18:56.211Z,2026-06-01T23:39:08.055Z,Cart service timeout after 1497ms
Cart service timeout after 1971ms,2,2026-06-01T00:29:24.980Z,2026-06-01T08:22:23.680Z,Cart service timeout after 1971ms
Cart service timeout after 2983ms,2,2026-06-01T00:49:53.366Z,2026-06-01T20:27:45.921Z,Cart service timeout after 2983ms
Cart service timeout after 1317ms,2,2026-06-01T01:01:10.731Z,2026-06-01T11:08:11.893Z,Cart service timeout after 1317ms
Cart service timeout after 1181ms,2,2026-06-01T01:30:46.176Z,2026-06-01T23:26:26.747Z,Cart service timeout after 1181ms
Cart service timeout after 873ms,2,2026-06-01T01:43:14.678Z,2026-06-01T23:07:50.489Z,Cart service timeout after 873ms
Cart service timeout after 1247ms,2,2026-06-01T01:49:12.006Z,2026-06-01T23:05:31.652Z,Cart service timeout after 1247ms
Cart service timeout after 713ms,2,2026-06-01T01:52:21.731Z,2026-06-01T23:23:05.138Z,Cart service timeout after 713ms
Cart service timeout after 1057ms,2,2026-06-01T01:53:56.820Z,2026-06-01T08:12:32.674Z,Cart service timeout after 1057ms
Cart service timeout after 1313ms,2,2026-06-01T02:04:34.747Z,2026-06-01T21:41:58.357Z,Cart service timeout after 1313ms
Cart service timeout after 1795ms,2,2026-06-01T02:08:44.300Z,2026-06-01T22:45:30.966Z,Cart service timeout after 1795ms
Cart service timeout after 2238ms,2,2026-06-01T02:17:53.630Z,2026-06-01T22:04:43.401Z,Cart service timeout after 2238ms
Cart service timeout after 2483ms,2,2026-06-01T02:22:22.030Z,2026-06-01T09:55:03.727Z,Cart service timeout after 2483ms
Cart service timeout after 1349ms,2,2026-06-01T02:28:23.963Z,2026-06-01T22:37:43.084Z,Cart service timeout after 1349ms
Cart service timeout after 2470ms,2,2026-06-01T02:38:26.700Z,2026-06-01T07:46:07.766Z,Cart service timeout after 2470ms
Cart service timeout after 2011ms,2,2026-06-01T03:11:53.053Z,2026-06-01T20:16:23.811Z,Cart service timeout after 2011ms
Cart service timeout after 620ms,2,2026-06-01T03:27:51.228Z,2026-06-01T12:49:58.748Z,Cart service timeout after 620ms
Cart service timeout after 1635ms,2,2026-06-01T03:32:52.801Z,2026-06-01T20:42:14.556Z,Cart service timeout after 1635ms
Cart service timeout after 2439ms,2,2026-06-01T03:46:17.279Z,2026-06-01T22:55:02.188Z,Cart service timeout after 2439ms
Cart service timeout after 1423ms,2,2026-06-01T03:55:07.923Z,2026-06-01T23:01:49.693Z,Cart service timeout after 1423ms
Cart service timeout after 896ms,2,2026-06-01T04:00:21.707Z,2026-06-01T22:46:20.422Z,Cart service timeout after 896ms
Cart service timeout after 1974ms,2,2026-06-01T04:02:52.834Z,2026-06-01T12:15:37.796Z,Cart service timeout after 1974ms
Cart service timeout after 2061ms,2,2026-06-01T04:34:20.290Z,2026-06-01T13:47:38.253Z,Cart service timeout after 2061ms
Cart service timeout after 720ms,2,2026-06-01T04:39:53.257Z,2026-06-01T08:46:37.691Z,Cart service timeout after 720ms
Cart service timeout after 842ms,2,2026-06-01T04:52:07.086Z,2026-06-01T21:11:00.595Z,Cart service timeout after 842ms
Cart service timeout after 1426ms,2,2026-06-01T04:53:06.591Z,2026-06-01T21:38:56.625Z,Cart service timeout after 1426ms
Cart service timeout after 2214ms,2,2026-06-01T05:12:50.391Z,2026-06-01T10:47:21.222Z,Cart service timeout after 2214ms
Cart service timeout after 1108ms,2,2026-06-01T05:25:48.194Z,2026-06-01T21:52:44.434Z,Cart service timeout after 1108ms
Cart service timeout after 2642ms,2,2026-06-01T05:27:14.986Z,2026-06-01T22:30:14.798Z,Cart service timeout after 2642ms
Cart service timeout after 2578ms,2,2026-06-01T06:37:28.730Z,2026-06-01T20:39:52.853Z,Cart service timeout after 2578ms
Cart service timeout after 1576ms,2,2026-06-01T07:02:16.680Z,2026-06-01T20:38:25.862Z,Cart service timeout after 1576ms
Cart service timeout after 1657ms,2,2026-06-01T07:06:30.176Z,2026-06-01T20:44:05.745Z,Cart service timeout after 1657ms
